dataset_name,normalized_rows,cluster_count,clustered_unique_content_count,clustered_dup_weight_sum
Apache,99,97,14145,51978
BGL,1289,399,338733,4631261
HDFS,101,95,10327129,11167740
HPC,184,153,9560,429988
Hadoop,767,320,61163,179993
HealthApp,202,200,122791,212394
Linux,768,454,10995,23921
Mac,2082,1664,38692,100314
OpenSSH,5171,149,181554,638947
OpenStack,73,52,139734,207632
Proxifier,41,22,7873,21320
Spark,382,278,7489238,16075117
Thunderbird,16289,1822,1220434,16601745
Zookeeper,103,90,23842,74273
