LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,LDAP: Built with OpenLDAP LDAP SDK,E20,LDAP: Built with OpenLDAP LDAP SDK,53,ldap: built with openldap ldap sdk,1,Apache_C0000001,1,53,ldap: built with openldap ldap sdk,1,1,frequency_representative
2,LDAP: SSL support unavailable,E23,LDAP: SSL support unavailable,53,ldap: ssl support unavailable,1,Apache_C0000002,1,53,ldap: ssl support unavailable,1,1,frequency_representative
3,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),E18,suEXEC mechanism enabled (wrapper: <*>),8,suexec mechanism enabled (wrapper: /usr/sbin/suexec),1,Apache_C0000003,1,8,suexec mechanism enabled (wrapper:/usr/sbin/suexec),1,1,frequency_representative
4,Digest: generating secret for digest authentication ...,E4,Digest: generating secret for digest authentication ...,45,digest: generating secret for digest authentication ...,1,Apache_C0000004,1,45,digest: generating secret for digest authentication...,1,1,frequency_representative
5,Digest: done,E29,Digest: done,45,digest: done,1,Apache_C0000005,1,45,digest: done,1,1,frequency_representative
8,"env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)",45,"<id> (): factory error creating channel.jni:jni ( channel.jni, jni)",1,Apache_C0000006,1,45,"<id> (): factory error creating channel. jni: jni (channel. jni, jni)",1,1,frequency_representative
9,config.update(): Can't create channel.jni:jni,E21,config.update(): Can't create <*>,45,config.update(): can't create channel.jni:jni,1,Apache_C0000007,1,45,config. update (): can ' t create channel. jni: jni,1,1,frequency_representative
10,"env.createBean2(): Factory error creating vm: ( vm, )",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)",45,"<id> (): factory error creating vm: ( vm, )",1,Apache_C0000008,1,45,"<id> (): factory error creating vm: (vm,)",1,1,frequency_representative
11,config.update(): Can't create vm:,E21,config.update(): Can't create <*>,45,config.update(): can't create vm:,1,Apache_C0000009,1,45,config. update (): can ' t create vm:,1,1,frequency_representative
12,"env.createBean2(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)",45,"<id> (): factory error creating worker.jni:onstartup ( worker.jni, onstartup)",1,Apache_C0000010,2,90,"<id> (): factory error creating worker. jni: <*> (worker. jni, <*>)",2,1,frequency_representative
14,"env.createBean2(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",E10,"env.createBean2(): Factory error creating <*> (<*>, <*>)",45,"<id> (): factory error creating worker.jni:onshutdown ( worker.jni, onshutdown)",1,Apache_C0000010,2,90,"<id> (): factory error creating worker. jni: <*> (worker. jni, <*>)",2,2,complex_sample
13,config.update(): Can't create worker.jni:onStartup,E21,config.update(): Can't create <*>,45,config.update(): can't create worker.jni:onstartup,1,Apache_C0000011,1,45,config. update (): can ' t create worker. jni: onstartup,1,1,frequency_representative
15,config.update(): Can't create worker.jni:onShutdown,E21,config.update(): Can't create <*>,45,config.update(): can't create worker.jni:onshutdown,1,Apache_C0000012,1,45,config. update (): can ' t create worker. jni: onshutdown,1,1,frequency_representative
16,mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,E2,mod_python: Creating <*> session mutexes based on <*> max processes and <*> max threads.,45,mod_python: creating <num> session mutexes based on <num> max processes and <num> max threads.,1,Apache_C0000013,1,45,mod_python: creating <num> session mutexes based on <num> max processes and <num> max threads.,1,1,frequency_representative
17,mod_security/1.9dev2 configured,E25,mod_security/<*> configured,45,mod_security/ <num> .9dev2 configured,1,Apache_C0000014,1,45,mod_security/<num>. 9 dev 2 configured,1,1,frequency_representative
18,Apache/2.0.49 (Fedora) configured -- resuming normal operations,E8,Apache/<*> configured -- resuming normal operations,45,apache/ <num> . <num> (fedora) configured -- resuming normal operations,1,Apache_C0000015,1,45,apache/<num>. <num> (fedora) configured-- resuming normal operations,1,1,frequency_representative
134,jk2_init() Found child 2338 in scoreboard slot 2,E15,jk2_init() Found child <*> in scoreboard slot <*>,6335,<id> () found child <num> in scoreboard slot <num>,6293,Apache_C0000016,6293,6335,<id> () found child <num> in scoreboard slot <num>,1,1,frequency_representative
27,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E27,workerEnv.init() ok <*>,5708,workerenv.init() ok <path>,1,Apache_C0000017,1,5708,workerenv. init () ok <path>,1,1,frequency_representative
75,mod_jk child init 1 -2,E28,mod_jk child init <*> <*>,1259,mod_jk child init <num> <num>,2,Apache_C0000018,2,1259,mod_jk child init <num> <num>,1,1,frequency_representative
4143,[client 218.144.240.75] Directory index forbidden by rule: /var/www/html/,E11,[client <*>] Directory index forbidden by rule: <*>,6745,[client <ip> ] directory index forbidden by rule: /var/www/html/,4201,Apache_C0000019,4201,6745,[client <ip>] directory index forbidden by rule:/var/www/html /,1,1,frequency_representative
2643,[client 70.17.255.43] File does not exist: /var/www/html/sumthin,E24,[client <*>] File does not exist: <*>,862,[client <ip> ] file does not exist: /var/www/html/sumthin,41,Apache_C0000020,41,862,[client <ip>] file does not exist:/var/www/html/sumthin,1,1,frequency_representative
73,jk2_init() Can't find child 4057 in scoreboard,E14,jk2_init() Can't find child <*> in scoreboard,971,<id> () can't find child <num> in scoreboard,955,Apache_C0000021,955,971,<id> () can ' t find child <num> in scoreboard,1,1,frequency_representative
3037,[client 213.194.182.13] File does not exist: /var/www/html/scripts/..%5c%5c..,E24,[client <*>] File does not exist: <*>,4531,[client <ip> ] file does not exist: <path>,569,Apache_C0000022,569,4531,[client <ip>] file does not exist: <path>,1,1,frequency_representative
4009,[client 218.106.69.52] File does not exist: /var/www/html/msadc,E24,[client <*>] File does not exist: <*>,176,[client <ip> ] file does not exist: /var/www/html/msadc,149,Apache_C0000023,149,176,[client <ip>] file does not exist:/var/www/html/msadc,1,1,frequency_representative
629,[client 203.112.195.156] File does not exist: /var/www/html/c,E24,[client <*>] File does not exist: <*>,79,[client <ip> ] file does not exist: /var/www/html/c,76,Apache_C0000024,76,79,[client <ip>] file does not exist:/var/www/html/c,1,1,frequency_representative
630,[client 203.112.195.156] File does not exist: /var/www/html/d,E24,[client <*>] File does not exist: <*>,77,[client <ip> ] file does not exist: /var/www/html/d,75,Apache_C0000025,75,77,[client <ip>] file does not exist:/var/www/html/d,1,1,frequency_representative
913,[client 81.214.165.213] File does not exist: /var/www/html/_vti_bin,E24,[client <*>] File does not exist: <*>,137,[client <ip> ] file does not exist: /var/www/html/_vti_bin,106,Apache_C0000026,106,137,[client <ip>] file does not exist:/var/www/html/_vti_bin,1,1,frequency_representative
633,[client 203.112.195.156] File does not exist: /var/www/html/_mem_bin,E24,[client <*>] File does not exist: <*>,74,[client <ip> ] file does not exist: /var/www/html/_mem_bin,72,Apache_C0000027,72,74,[client <ip>] file does not exist:/var/www/html/_mem_bin,1,1,frequency_representative
