LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,instruction cache parity error corrected,E208,instruction cache parity error corrected,105924,instruction cache parity error corrected,1,BGL_C0000001,1,105924,instruction cache parity error corrected,1,1,frequency_representative
1477,MidplaneSwitchController performing bit sparing on R27-M1-L3-U18-C bit 3,E93,MidplaneSwitchController performing bit sparing on <*> bit <*>,964,midplaneswitchcontroller performing bit sparing on <id> bit <num>,5,BGL_C0000002,5,964,midplaneswitchcontroller performing bit sparing on <id> bit <num>,1,1,frequency_representative
12947,generating core.0,E310,generating core.<*>,1706751,generating <id>,65536,BGL_C0000003,65536,1706751,generating <id>,1,1,frequency_representative
14661,"1 ddr errors(s) detected and corrected on rank 0, symbol 26, bit 3",E94,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*> bit <*>",33939,"<num> ddr errors(s) detected and corrected on rank <num> , symbol <num> , bit <num>",4420,BGL_C0000004,4420,33939,"<num> ddr errors (s) detected and corrected on rank <num>, symbol <num>, bit <num>",1,1,frequency_representative
15069,1 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,E218,<*> L3 <*> error(s) (dcr <*>) detected and corrected,4534,<num> l3 edram error(s) (dcr <hex> ) detected and corrected,1263,BGL_C0000005,1312,4978,<num> l 3 <*> error (s) (dcr <hex>) detected and corrected,2,1,frequency_representative
14744,1 L3 directory error(s) (dcr 0x0152) detected and corrected,E218,<*> L3 <*> error(s) (dcr <*>) detected and corrected,444,<num> l3 directory error(s) (dcr <hex> ) detected and corrected,49,BGL_C0000005,1312,4978,<num> l 3 <*> error (s) (dcr <hex>) detected and corrected,2,2,complex_sample
199969,"CE sym 10, at 0x18f71180, mask 0x02",E314,"CE sym <*>, at <*>, mask <*>",201206,"ce sym <num> , at <hex> , mask <hex>",9553,BGL_C0000006,9553,201206,"ce sym <num>, at <hex>, mask <hex>",1,1,frequency_representative
4885,total of 1 ddr error(s) detected and corrected,E191,total of <*> ddr error(s) detected and corrected,28485,total of <num> ddr error(s) detected and corrected,264,BGL_C0000007,264,28485,total of <num> ddr error (s) detected and corrected,1,1,frequency_representative
15157,ddr: activating redundant bit steering: rank=0 symbol=9,E95,ddr: activating redundant bit steering: rank=<*> symbol=<*>,1314,ddr: activating redundant bit steering: rank= <num> symbol= <num>,35,BGL_C0000008,35,1314,ddr: activating redundant bit steering: rank = <num> symbol = <num>,1,1,frequency_representative
4904,"ddr: excessive soft failures, consider replacing the card",E86,"ddr: excessive soft failures, consider replacing the card",41,"ddr: excessive soft failures, consider replacing the card",1,BGL_C0000009,1,41,"ddr: excessive soft failures, consider replacing the card",1,1,frequency_representative
3288565,"ciod: Error loading /home/greeno/_dev2/_pasci2/_hyperclaw.mf.rich/run/_jag_work/raptor.dev.new3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory",E35,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",31336,"ciod: error loading <path> invalid or missing program image, no such file or directory",100,BGL_C0000010,100,31336,"ciod: error loading <path> invalid or missing program image, no such file or directory",1,1,frequency_representative
1247920,1146800 double-hummer alignment exceptions,E237,<*> double-hummer alignment exceptions,295764,<num> double-hummer alignment exceptions,117935,BGL_C0000011,117935,295764,<num> double-hummer alignment exceptions,1,1,frequency_representative
14297,1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,E99,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,7847,<num> tree receiver <num> in re-synch state event(s) (dcr <hex> ) detected,509,BGL_C0000012,509,7847,<num> tree receiver <num> in re-synch state event (s) (dcr <hex>) detected,1,1,frequency_representative
4110452,idoproxydb has been started: $Name: V1R2M0_460_2005 $ Input parameters: -enableflush -loguserinfo db.properties BlueGene1,E98,idoproxydb has been started: $Name: <*> $ Input parameters: <*>,107,idoproxydb has been started: $name: <id> $ input parameters: -enableflush -loguserinfo db.properties <id>,17,BGL_C0000013,17,107,idoproxydb has been started: $ name: <id> $ input parameters:-enableflush-loguserinfo db. properties <id>,1,1,frequency_representative
14730,ciodb has been restarted.,E280,ciodb has been restarted.,129,ciodb has been restarted.,1,BGL_C0000014,1,129,ciodb has been restarted.,1,1,frequency_representative
3016492,ciod: LOGIN chdir(/home/germann2/SPaSM_static) failed: No such file or directory,E118,ciod: LOGIN chdir(<*>) failed: No such file or directory,28583,ciod: login chdir( <path> ) failed: no such file or directory,94,BGL_C0000015,95,30639,ciod: login chdir (<*>) failed: no such file or directory,2,1,frequency_representative
2978274,ciod: LOGIN chdir(pwd) failed: No such file or directory,E118,ciod: LOGIN chdir(<*>) failed: No such file or directory,2056,ciod: login chdir(pwd) failed: no such file or directory,1,BGL_C0000015,95,30639,ciod: login chdir (<*>) failed: no such file or directory,2,2,complex_sample
15701,data TLB error interrupt,E285,data TLB error interrupt,152734,data tlb error interrupt,1,BGL_C0000016,1,152734,data tlb error interrupt,1,1,frequency_representative
395136,instruction address: 0x00004ed8,E301,instruction address: <*>,51227,instruction address: <hex>,213,BGL_C0000017,213,51227,instruction address: <hex>,1,1,frequency_representative
31851,machine check interrupt,E286,machine check interrupt,161,machine check interrupt,1,BGL_C0000018,1,161,machine check interrupt,1,1,frequency_representative
31853,machine check status register: 0x81000000,E265,machine check status register: <*>,246,machine check status register: <hex>,7,BGL_C0000019,7,246,machine check status register: <hex>,1,1,frequency_representative
31854,summary...........................1,E220,summary...........................<*>,406,<id>,9,BGL_C0000020,9,406,<id>,1,1,frequency_representative
31855,instruction plb error.............0,E234,instruction plb error.............<*>,298,instruction plb <id>,2,BGL_C0000021,2,298,instruction plb <id>,1,1,frequency_representative
31856,data read plb error...............0,E248,data read plb error...............<*>,297,data read plb <id>,2,BGL_C0000022,2,297,data read plb <id>,1,1,frequency_representative
31857,data write plb error..............0,E246,data write plb error..............<*>,296,data write plb <id>,2,BGL_C0000023,2,296,data write plb <id>,1,1,frequency_representative
31858,tlb error.........................0,E227,tlb error.........................<*>,296,tlb <id>,2,BGL_C0000024,2,296,tlb <id>,1,1,frequency_representative
31859,i-cache parity error..............0,E238,i-cache parity error..............<*>,296,i-cache parity <id>,1,BGL_C0000025,1,296,i-cache parity <id>,1,1,frequency_representative
31860,d-cache search parity error.......0,E249,d-cache search parity error.......<*>,294,d-cache search parity <id>,2,BGL_C0000026,4,588,d-cache <*> parity <id>,2,1,frequency_representative
31861,d-cache flush parity error........1,E255,d-cache flush parity error.......<*>,294,d-cache flush parity <id>,2,BGL_C0000026,4,588,d-cache <*> parity <id>,2,2,complex_sample
31862,imprecise machine check...........0,E243,imprecise machine check...........<*>,289,imprecise machine <id>,2,BGL_C0000027,2,289,imprecise machine <id>,1,1,frequency_representative
580872,machine state register: 0x00002000,E294,machine state register: <*>,8454,machine state register: <hex>,6,BGL_C0000028,6,8454,machine state register: <hex>,1,1,frequency_representative
31864,wait state enable.................0,E235,wait state enable.................<*>,6745,wait state <id>,1,BGL_C0000029,1,6745,wait state <id>,1,1,frequency_representative
31865,critical input interrupt enable...0,E251,critical input interrupt enable...<*>,6559,critical input interrupt <id>,2,BGL_C0000030,2,6559,critical input interrupt <id>,1,1,frequency_representative
32569,external input interrupt enable...0,E250,external input interrupt enable...<*>,6556,external input interrupt <id>,2,BGL_C0000031,2,6556,external input interrupt <id>,1,1,frequency_representative
32578,"problem state (0=sup,1=usr).......0",E256,"problem state (<*>=sup,<*>=usr).......<*>",6546,"problem state ( <num> =sup, <num> =usr)....... <num>",2,BGL_C0000032,2,6546,"problem state (<num> = sup, <num> = usr)....... <num>",1,1,frequency_representative
31868,floating point instr. enabled.....1,E247,floating point instr. enabled.....<*>,6541,floating point instr. <id>,2,BGL_C0000033,2,6541,floating point instr. <id>,1,1,frequency_representative
605077,machine check enable..............0,E239,machine check enable..............<*>,6538,machine check <id>,2,BGL_C0000034,2,6538,machine check <id>,1,1,frequency_representative
31870,floating pt ex mode 0 enable......0,E262,floating pt ex mode <*> enable......<*>,13044,floating pt ex mode <num> <id>,4,BGL_C0000035,4,13044,floating pt ex mode <num> <id>,1,1,frequency_representative
31871,debug wait enable.................0,E241,debug wait enable.................<*>,6524,debug wait <id>,1,BGL_C0000036,1,6524,debug wait <id>,1,1,frequency_representative
31872,debug interrupt enable............0,E236,debug interrupt enable............<*>,6521,debug interrupt <id>,1,BGL_C0000037,1,6521,debug interrupt <id>,1,1,frequency_representative
31874,instruction address space.........0,E233,instruction address space.........<*>,6506,instruction address <id>,1,BGL_C0000038,1,6506,instruction address <id>,1,1,frequency_representative
