LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
167092,Receiving block blk_-1984849260956847760 src: /10.251.214.225:57231 dest: /10.251.214.225:50010,E42,Receiving block <*> src: <*> dest: <*>,862156,receiving block blk_- <hex> src: / <ip> dest: / <ip>,862148,HDFS_C0000001,862148,862156,receiving block blk_-<hex> src:/<ip> dest:/<ip>,1,1,frequency_representative
2,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906,E34,BLOCK* NameSystem.allocateBlock: <*> <*>,16,block* namesystem.allocateblock: <path> <id> /job.jar. blk_- <hex>,16,HDFS_C0000002,39,39,block * namesystem. allocateblock: <path> <id>/job. <*>. blk_-<hex>,2,1,frequency_representative
478083,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0002/job.split. blk_-6470779133565377044,E34,BLOCK* NameSystem.allocateBlock: <*> <*>,12,block* namesystem.allocateblock: <path> <id> /job.split. blk_- <hex>,12,HDFS_C0000002,39,39,block * namesystem. allocateblock: <path> <id>/job. <*>. blk_-<hex>,2,2,complex_sample
8731761,PacketResponder 0 for block blk_-6363674043695218814 terminating,E31,PacketResponder <*> for block <*> terminating,853916,packetresponder <num> for block blk_- <hex> terminating,853885,HDFS_C0000003,853885,853916,packetresponder <num> for block blk_-<hex> terminating,1,1,frequency_representative
2094,Received block blk_-4770972463483766707 of size 67108864 from /10.251.194.213,E41,Received block <*> of size <*> from <*>,853842,received block blk_- <hex> of size <num> from / <ip>,569387,HDFS_C0000004,569387,853842,received block blk_-<hex> of size <num> from/<ip>,1,1,frequency_representative
4206702,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.160:50010 is added to blk_-8802304907514362750 size 67108864,E22,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,860592,block* namesystem.addstoredblock: blockmap updated: <ip> is added to blk_- <hex> size <num>,857455,HDFS_C0000005,857455,860592,block * namesystem. addstoredblock: blockmap updated: <ip> is added to blk_-<hex> size <num>,1,1,frequency_representative
318715,Receiving block blk_2642716134878975205 src: /10.251.39.242:57499 dest: /10.251.39.242:50010,E42,Receiving block <*> src: <*> dest: <*>,861076,receiving block <id> src: / <ip> dest: / <ip>,861061,HDFS_C0000006,861061,861076,receiving block <id> src:/<ip> dest:/<ip>,1,1,frequency_representative
1060307,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0003/job.xml. blk_7015840645307191473,E34,BLOCK* NameSystem.allocateBlock: <*> <*>,13,block* namesystem.allocateblock: <path> <id> /job.xml. <id>,13,HDFS_C0000007,34,34,block * namesystem. allocateblock: <path> <id>/job. <*>. <id>,2,1,frequency_representative
16,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_7503483334202473044,E34,BLOCK* NameSystem.allocateBlock: <*> <*>,12,block* namesystem.allocateblock: <path> <id> /job.split. <id>,12,HDFS_C0000007,34,34,block * namesystem. allocateblock: <path> <id>/job. <*>. <id>,2,2,complex_sample
17,Received block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178,E39,Received block <*> src: <*> dest: <*> of size <*>,3615,received block blk_- <hex> src: / <ip> dest: / <ip> of size <num>,3615,HDFS_C0000008,3615,3615,received block blk_-<hex> src:/<ip> dest:/<ip> of size <num>,1,1,frequency_representative
