LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,1 failed to configure resourcemgmt subsystem err = 10,E29,<*> failed to configure resourcemgmt subsystem err = <*>,50,<num> failed to configure resourcemgmt subsystem err = <num>,1,HPC_C0000001,1,50,<num> failed to configure resourcemgmt subsystem err = <num>,1,1,frequency_representative
1653,wait (command 1949),E58,wait (command <*>),12982,wait (command <num> ),1315,HPC_C0000002,1315,12982,wait (command <num>),1,1,frequency_representative
1644,boot (command 1949),E57,boot (command <*>),13414,boot (command <num> ),1362,HPC_C0000003,1362,13414,boot (command <num>),1,1,frequency_representative
15155,halt (command 2988),E56,halt (command <*>),616,halt (command <num> ),117,HPC_C0000004,117,616,halt (command <num>),1,1,frequency_representative
227,clusterAddMember (command 1899),E38,clusterAddMember (command <*>),264,clusteraddmember (command <num> ),24,HPC_C0000005,24,264,clusteraddmember (command <num>),1,1,frequency_representative
260,risBoot (command 1899),E49,risBoot (command <*>),268,risboot (command <num> ),25,HPC_C0000006,25,268,risboot (command <num>),1,1,frequency_representative
267,bootGenvmunix (command 1899),E41,bootGenvmunix (command <*>),262,bootgenvmunix (command <num> ),24,HPC_C0000007,24,262,bootgenvmunix (command <num>),1,1,frequency_representative
880,member_delete (command 1908),E42,member_delete (command <*>),15,member_delete (command <num> ),15,HPC_C0000008,15,15,member_delete (command <num>),1,1,frequency_representative
1627,haltcluster (command 1947),E45,haltcluster (command <*>),44,haltcluster (command <num> ),43,HPC_C0000009,43,44,haltcluster (command <num>),1,1,frequency_representative
27869,Command has completed successfully,E33,Command has completed successfully,1741,command has completed successfully,1,HPC_C0000010,1,1741,command has completed successfully,1,1,frequency_representative
30214,Targeting domains:node-D2 and nodes:node-90,E37,Targeting domains:<*> and nodes:<*>,573,targeting domains: <id> and <id>,202,HPC_C0000011,202,573,targeting domains: <id> and <id>,1,1,frequency_representative
29685,Targeting domains:node-D0 and nodes:node-[0-31],E37,Targeting domains:<*> and nodes:<*>,128,targeting domains: <id> and nodes:node-[ <num> - <num> ],59,HPC_C0000012,68,137,targeting domains: <id> and nodes: node-[<num> <*> <num>],2,1,frequency_representative
29782,Targeting domains:node-D6 and nodes:node-[205\ 216],E37,Targeting domains:<*> and nodes:<*>,9,targeting domains: <id> and nodes:node-[ <num> \ <num> ],9,HPC_C0000012,68,137,targeting domains: <id> and nodes: node-[<num> <*> <num>],2,2,complex_sample
