LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,loaded properties from hadoop-metrics2.properties,E188,loaded properties from <*>,977,loaded properties from <id>,1,Hadoop_C0000001,1,977,loaded properties from <id>,1,1,frequency_representative
2,Scheduled snapshot period at 10 second(s).,E98,Scheduled snapshot period at <*> second(s).,978,scheduled snapshot period at <num> second(s).,1,Hadoop_C0000002,1,978,scheduled snapshot period at <num> second (s).,1,1,frequency_representative
3,MapTask metrics system started,E189,<*> metrics system started,838,maptask metrics system started,1,Hadoop_C0000003,1,838,maptask metrics system started,1,1,frequency_representative
4,Executing with tokens:,E187,Executing with tokens:,978,executing with tokens:,1,Hadoop_C0000004,1,978,executing with tokens:,1,1,frequency_representative
144050,"Kind: mapreduce.job, Service: job_1445062781478_0013, Ident: (org.apache.hadoop.mapreduce.security.token.JobTokenIdentifier@1623b78d)",E174,"Kind: <*>, Service: <*>, Ident: (<*>)",875,"kind: mapreduce.job, service: <id> , ident: (org.apache.hadoop.mapreduce.security.token.jobtokenidentifier@ <id> )",537,Hadoop_C0000005,546,884,"kind: mapreduce. job, service: <id>, ident: (org. apache. hadoop. mapreduce. security. token. jobtokenidentifier @ <id>)",2,1,frequency_representative
5154,"Kind: mapreduce.job, Service: job_1445062781478_0018, Ident: (org.apache.hadoop.mapreduce.security.token.JobTokenIdentifier@35212499)",E174,"Kind: <*>, Service: <*>, Ident: (<*>)",9,"kind: mapreduce.job, service: <id> , ident: (org.apache.hadoop.mapreduce.security.token.jobtokenidentifier@ <num> )",9,Hadoop_C0000005,546,884,"kind: mapreduce. job, service: <id>, ident: (org. apache. hadoop. mapreduce. security. token. jobtokenidentifier @ <id>)",2,2,complex_sample
6,Sleeping for 0ms before retrying again. Got null now.,E76,Sleeping for <*> before retrying again. Got null now.,909,sleeping for 0ms before retrying again. got null now.,1,Hadoop_C0000006,1,909,sleeping for 0 ms before retrying again. got null now.,1,1,frequency_representative
43395,mapreduce.cluster.local.dir for child: /tmp/hadoop-msrabi/nm-local-dir/usercache/msrabi/appcache/application_1445087491445_0004,E93,mapreduce.cluster.local.dir for child: <*>,907,mapreduce.cluster.local.dir for child: <path> <id>,55,Hadoop_C0000007,55,907,mapreduce. cluster. local. dir for child: <path> <id>,1,1,frequency_representative
8,"session.id is deprecated. Instead, use dfs.metrics.session-id",E165,"<*> is deprecated. Instead, use <*>",907,"session.id is deprecated. instead, use dfs.metrics.session-id",1,Hadoop_C0000008,1,907,"session. id is deprecated. instead, use dfs. metrics. session-id",1,1,frequency_representative
9,ProcfsBasedProcessTree currently is supported only on Linux.,E47,ProcfsBasedProcessTree currently is supported only on Linux.,905,procfsbasedprocesstree currently is supported only on linux.,1,Hadoop_C0000009,1,905,procfsbasedprocesstree currently is supported only on linux.,1,1,frequency_representative
