LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1219,onStandStepChanged 3786,E131,onStandStepChanged <*>,30161,onstandstepchanged <num>,16409,HealthApp_C0000001,16409,30161,onstandstepchanged <num>,1,1,frequency_representative
2,onReceive action: android.intent.action.SCREEN_ON,E137,onReceive action: <*>,1617,onreceive action: android.intent.action.screen_on,1,HealthApp_C0000002,1,1617,onreceive action: android. intent. action. screen_on,1,1,frequency_representative
3,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E50,processHandleBroadcastAction action:<*>,1617,processhandlebroadcastaction action:android.intent.action.screen_on,1,HealthApp_C0000003,1,1617,processhandlebroadcastaction action: android. intent. action. screen_on,1,1,frequency_representative
4,flush sensor data,E139,flush sensor data,1617,flush sensor data,1,HealthApp_C0000004,1,1617,flush sensor data,1,1,frequency_representative
1534,getTodayTotalDetailSteps = 1514044560000##7214##549659##8661##16256##33306763,E90,getTodayTotalDetailSteps = <*>,27447,gettodaytotaldetailsteps = <hex> ## <num> ## <num> ## <num> ## <num> ## <num>,27431,HealthApp_C0000005,27431,27447,gettodaytotaldetailsteps = <hex> # # <num> # # <num> # # <num> # # <num> # # <num>,1,1,frequency_representative
6,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,E93,setTodayTotalDetailSteps=<*>,27431,settodaytotaldetailsteps= <hex> ## <num> ## <num> ## <num> ## <num> ## <num>,27431,HealthApp_C0000006,27431,27431,settodaytotaldetailsteps = <hex> # # <num> # # <num> # # <num> # # <num> # # <num>,1,1,frequency_representative
1540,calculateCaloriesWithCache totalCalories=0,E36,calculateCaloriesWithCache totalCalories=<*>,27426,calculatecalorieswithcache totalcalories= <num>,19387,HealthApp_C0000007,19387,27426,calculatecalorieswithcache totalcalories = <num>,1,1,frequency_representative
1541,calculateAltitudeWithCache totalAltitude=0,E35,calculateAltitudeWithCache totalAltitude=<*>,27426,calculatealtitudewithcache totalaltitude= <num>,26,HealthApp_C0000008,26,27426,calculatealtitudewithcache totalaltitude = <num>,1,1,frequency_representative
1542,REPORT : 0 0 0 0,E156,REPORT : <*>,23539,report : <num> <num> <num> <num>,21753,HealthApp_C0000009,21753,23539,report: <num> <num> <num> <num>,1,1,frequency_representative
55,onReceive action: android.intent.action.SCREEN_OFF,E137,onReceive action: <*>,1617,onreceive action: android.intent.action.screen_off,1,HealthApp_C0000010,1,1617,onreceive action: android. intent. action. screen_off,1,1,frequency_representative
