LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,restart.,E332,restart.,42,restart.,1,Linux_C0000001,1,42,restart.,1,1,frequency_representative
2,syslogd startup succeeded,E283,<*> startup succeeded,9,syslogd startup succeeded,1,Linux_C0000002,1,9,syslogd startup succeeded,1,1,frequency_representative
3,klogd startup succeeded,E283,<*> startup succeeded,9,klogd startup succeeded,1,Linux_C0000003,1,9,klogd startup succeeded,1,1,frequency_representative
4,"klogd 1.4.1, log source = /proc/kmsg started.",E187,"klogd <*>, log source = <*> started.",9,"klogd <num> . <num> , log source = /proc/kmsg started.",1,Linux_C0000004,1,9,"klogd <num>. <num>, log source =/proc/kmsg started.",1,1,frequency_representative
5,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,E57,Linux version <*> (<*>) (gcc version <*> (Red Hat Linux <*>)) <*>,8,linux version <num> . <num> - <num> ( <email> ) (gcc version <num> . <num> <num> (red hat linux <num> . <num> - <num> )) # <num> sat may <num> <ip> edt <num>,1,Linux_C0000005,1,8,linux version <num>. <num>-<num> (<email>) (gcc version <num>. <num> <num> (red hat linux <num>. <num>-<num>)) # <num> sat may <num> <ip> edt <num>,1,1,frequency_representative
6,BIOS-provided physical RAM map:,E128,BIOS-provided physical RAM map:,8,bios-provided physical ram map:,1,Linux_C0000006,1,8,bios-provided physical ram map:,1,1,frequency_representative
8,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),E219,BIOS-e820: <*> - <*> (reserved),24,<id> : <hex> - <hex> (reserved),3,Linux_C0000007,5,40,<id>: <hex>-<hex> (<*>),2,1,frequency_representative
7,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),E244,BIOS-e820: <*> - <*> (usable),16,<id> : <hex> - <hex> (usable),2,Linux_C0000007,5,40,<id>: <hex>-<hex> (<*>),2,2,complex_sample
12,126MB LOWMEM available.,E282,<*> LOWMEM available.,8,126mb lowmem available.,1,Linux_C0000008,1,8,126 mb lowmem available.,1,1,frequency_representative
13,zapping low mappings.,E236,zapping low mappings.,8,zapping low mappings.,1,Linux_C0000009,1,8,zapping low mappings.,1,1,frequency_representative
