LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
20,AppleThunderboltNHIType2::prePCIWake - power up complete - took 1 us,E265,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,1019,<id> - power up complete - took <num> us,18,Mac_C0000001,18,1019,<id>-power up complete-took <num> us,1,1,frequency_representative
21,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,E246,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,1019,applethunderboltgenerichal::earlywake - complete - took <num> milliseconds,4,Mac_C0000002,4,1019,applethunderboltgenerichal:: earlywake-complete-took <num> milliseconds,1,1,frequency_representative
3,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,E396,AirPort: Link Down on <*>. Reason <*> (Unspecified).,532,airport: link down on awdl0. reason <num> (unspecified).,1,Mac_C0000003,1,532,airport: link down on awdl 0. reason <num> (unspecified).,1,1,frequency_representative
4,"ARPT: 620651.021206: wl0: wl_update_tcpkeep_seq: Original Seq: 2477329075, Ack: 1662858865, Win size: 4096",E294,"ARPT: <*>: <*>: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",442,"arpt: <num> : wl0: wl_update_tcpkeep_seq: original seq: <num> , ack: <num> , win size: <num>",442,Mac_C0000004,442,442,"arpt: <num>: wl 0: wl_update_tcpkeep_seq: original seq: <num>, ack: <num>, win size: <num>",1,1,frequency_representative
5,Bluetooth -- LE is supported - Disable LE meta event,E358,Bluetooth -- LE is supported - Disable LE meta event,532,bluetooth -- le is supported - disable le meta event,1,Mac_C0000005,1,532,bluetooth-- le is supported-disable le meta event,1,1,frequency_representative
6,"ARPT: 620651.021235: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2477329075, Ack 1662858865, Win size 278",E242,"ARPT: <*>: <*>: wl_update_tcpkeep_seq: Updated <*> from UserClient Seq <*>, Ack <*>, Win size <*>",440,"arpt: <num> : wl0: wl_update_tcpkeep_seq: updated seq/ack/win from userclient seq <num> , ack <num> , win size <num>",440,Mac_C0000006,440,440,"arpt: <num>: wl 0: wl_update_tcpkeep_seq: updated seq/ack/win from userclient seq <num>, ack <num>, win size <num>",1,1,frequency_representative
7,ARPT: 620651.021264: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,E300,ARPT: <*>: <*>: leaveModulePoweredForOffloads: Wi-Fi will stay on.,531,arpt: <num> : wl0: leavemodulepoweredforoffloads: wi-fi will stay on.,531,Mac_C0000007,532,532,arpt: <num>: wl 0: leavemodulepoweredforoffloads: wi-fi will <*> <*>.,2,1,frequency_representative
71285,ARPT: 729787.205086: wl0: leaveModulePoweredForOffloads: Wi-Fi will turn off.,E297,ARPT: <*>: <*>: leaveModulePoweredForOffloads: Wi-Fi will turn off.,1,arpt: <num> : wl0: leavemodulepoweredforoffloads: wi-fi will turn off.,1,Mac_C0000007,532,532,arpt: <num>: wl 0: leavemodulepoweredforoffloads: wi-fi will <*> <*>.,2,2,complex_sample
37,ARPT: 620652.891984: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],E328,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],532,arpt: <num> : <id> : wwen[disable],532,Mac_C0000008,1595,1595,arpt: <num>: <id>: wwen [<*>],3,1,frequency_representative
8,ARPT: 620651.047545: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],E328,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],531,arpt: <num> : <id> : wwen[enable],531,Mac_C0000008,1595,1595,arpt: <num>: <id>: wwen [<*>],3,2,complex_sample
