LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
409809,reverse mapping checking getaddrinfo for 45.76.33.212.vultr.com [45.76.33.212] failed - POSSIBLE BREAK-IN ATTEMPT!,E7,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,73,reverse mapping checking getaddrinfo for <ip> .vultr.com [ <ip> ] failed - possible break-in attempt!,13,OpenSSH_C0000001,32,198,reverse mapping checking getaddrinfo for <*>. <*>. <*> [<ip>] failed-possible break-in attempt!,3,1,frequency_representative
221599,reverse mapping checking getaddrinfo for 124.174.226.5.techserverdns.com [5.226.174.124] failed - POSSIBLE BREAK-IN ATTEMPT!,E7,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,1,reverse mapping checking getaddrinfo for <ip> .techserverdns.com [ <ip> ] failed - possible break-in attempt!,1,OpenSSH_C0000001,32,198,reverse mapping checking getaddrinfo for <*>. <*>. <*> [<ip>] failed-possible break-in attempt!,3,2,complex_sample
292688,reverse mapping checking getaddrinfo for hn.kd.dhcp [61.54.185.233] failed - POSSIBLE BREAK-IN ATTEMPT!,E7,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,1,reverse mapping checking getaddrinfo for hn.kd.dhcp [ <ip> ] failed - possible break-in attempt!,1,OpenSSH_C0000001,32,198,reverse mapping checking getaddrinfo for <*>. <*>. <*> [<ip>] failed-possible break-in attempt!,3,3,diverse_sample
64490,Invalid user admin from 193.201.224.232,E38,Invalid user <*> from <*>,3048,invalid user admin from <ip>,444,OpenSSH_C0000002,3869,13060,invalid user <*> from <ip>,3,1,frequency_representative
213582,Invalid user xxxxxxxxxxxxxxxxxxxxxxxx from 60.174.195.41,E38,Invalid user <*> from <*>,1,invalid user xxxxxxxxxxxxxxxxxxxxxxxx from <ip>,1,OpenSSH_C0000002,3869,13060,invalid user <*> from <ip>,3,2,complex_sample
145442,Invalid user aaaaaaaaaaaaaaaa from 121.14.27.58,E38,Invalid user <*> from <*>,4,invalid user <hex> from <ip>,1,OpenSSH_C0000002,3869,13060,invalid user <*> from <ip>,3,3,diverse_sample
190,input_userauth_request: invalid user admin [preauth],E19,input_userauth_request: invalid user <*> [preauth],3048,input_userauth_request: invalid user admin [preauth],3,OpenSSH_C0000003,1622,14168,input_userauth_request: invalid user <*> [preauth],3,1,frequency_representative
213583,input_userauth_request: invalid user xxxxxxxxxxxxxxxxxxxxxxxx [preauth],E19,input_userauth_request: invalid user <*> [preauth],1,input_userauth_request: invalid user xxxxxxxxxxxxxxxxxxxxxxxx [preauth],1,OpenSSH_C0000003,1622,14168,input_userauth_request: invalid user <*> [preauth],3,2,complex_sample
78677,input_userauth_request: invalid user serverpilotuser [preauth],E19,input_userauth_request: invalid user <*> [preauth],1,input_userauth_request: invalid user serverpilotuser [preauth],1,OpenSSH_C0000003,1622,14168,input_userauth_request: invalid user <*> [preauth],3,3,diverse_sample
4,pam_unix(sshd:auth): check pass; user unknown,E23,pam_unix(sshd:auth): check pass; user unknown,19852,pam_unix(sshd:auth): check pass; user unknown,1,OpenSSH_C0000004,1,19852,pam_unix (sshd: auth): check pass; user unknown,1,1,frequency_representative
64525,Failed password for invalid user admin from 193.201.224.232 port 64296 ssh2,E25,Failed password for invalid user <*> from <*> port <*> ssh2,8080,failed password for invalid user admin from <ip> port <num> ssh2,2898,OpenSSH_C0000005,13901,19435,failed password for invalid user <*> from <ip> port <num> ssh 2,3,1,frequency_representative
213588,Failed password for invalid user xxxxxxxxxxxxxxxxxxxxxxxx from 60.174.195.41 port 39398 ssh2,E25,Failed password for invalid user <*> from <*> port <*> ssh2,1,failed password for invalid user xxxxxxxxxxxxxxxxxxxxxxxx from <ip> port <num> ssh2,1,OpenSSH_C0000005,13901,19435,failed password for invalid user <*> from <ip> port <num> ssh 2,3,2,complex_sample
