LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
14979,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2677560",E42,"<*> ""GET <*> <*>"" status: <*> len: <*> time: <*>",67363,"<ip> ""get /v2/ <hex> /servers/detail http/ <num> "" status: <num> len: <num> time: <num>",58879,OpenStack_C0000001,61089,69573,"<ip> "" get/v 2/<hex>/<*>/<*> http/<num> "" status: <num> len: <num> time: <num>",3,1,frequency_representative
2,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3edec1e4-9678-4a3a-a21b-a145a4ee5e61 HTTP/1.1"" status: 200 len: 1708 time: 0.2011580",E42,"<*> ""GET <*> <*>"" status: <*> len: <*> time: <*>",2066,"<ip> ""get /v2/ <hex> /servers/ <uuid> http/ <num> "" status: <num> len: <num> time: <num>",2066,OpenStack_C0000001,61089,69573,"<ip> "" get/v 2/<hex>/<*>/<*> http/<num> "" status: <num> len: <num> time: <num>",3,2,complex_sample
815,"10.11.10.2 ""GET /v2/e9746973ac574c6b8a9e8857f56a7608/images/0673dd71-34c5-4fbb-86c4-40623fbe45b4 HTTP/1.1"" status: 200 len: 868 time: 0.3222260",E42,"<*> ""GET <*> <*>"" status: <*> len: <*> time: <*>",144,"<ip> ""get /v2/ <hex> /images/ <uuid> http/ <num> "" status: <num> len: <num> time: <num>",144,OpenStack_C0000001,61089,69573,"<ip> "" get/v 2/<hex>/<*>/<*> http/<num> "" status: <num> len: <num> time: <num>",3,3,diverse_sample
3,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Creating image,E37,[instance: <*>] Creating image,2066,[instance: <uuid> ] creating image,2066,OpenStack_C0000002,2066,2066,[instance: <uuid>] creating image,1,1,frequency_representative
43,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] VM Resumed (Lifecycle Event),E22,[instance: <*>] VM Resumed (Lifecycle Event),4132,[instance: <uuid> ] vm resumed (lifecycle event),2066,OpenStack_C0000003,8265,10331,[instance: <uuid>] vm <*> (lifecycle event),3,1,frequency_representative
22,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] VM Started (Lifecycle Event),E23,[instance: <*>] VM Started (Lifecycle Event),2066,[instance: <uuid> ] vm started (lifecycle event),2066,OpenStack_C0000003,8265,10331,[instance: <uuid>] vm <*> (lifecycle event),3,2,complex_sample
23,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] VM Paused (Lifecycle Event),E26,[instance: <*>] VM Paused (Lifecycle Event),2066,[instance: <uuid> ] vm paused (lifecycle event),2066,OpenStack_C0000003,8265,10331,[instance: <uuid>] vm <*> (lifecycle event),3,3,diverse_sample
15,"While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",E3,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",45,"while synchronizing instance power states, found <num> instances in the database and <num> instances on the hypervisor.",1,OpenStack_C0000004,1,45,"while synchronizing instance power states, found <num> instances in the database and <num> instances on the hypervisor.",1,1,frequency_representative
140405,[instance: 8f461f4f-9e0e-422a-8266-be2671d16abe] During sync_power_state the instance has a pending task (spawning). Skip.,E4,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,4049,[instance: <uuid> ] during sync_power_state the instance has a pending task (spawning). skip.,2066,OpenStack_C0000005,2066,4049,[instance: <uuid>] during sync_power_state the instance has a pending task (spawning). skip.,1,1,frequency_representative
25,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,E44,image <*> at (<*>): checking,12043,image <uuid> at ( <path> <hex> ): checking,1,OpenStack_C0000006,1,12043,image <uuid> at (<path> <hex>): checking,1,1,frequency_representative
26,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",E5,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",12043,"image <uuid> at ( <path> <hex> ): in use: on this node <num> local, <num> on other nodes sharing this instance storage",1,OpenStack_C0000007,1,12043,"image <uuid> at (<path> <hex>): in use: on this node <num> local, <num> on other nodes sharing this instance storage",1,1,frequency_representative
28,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E47,Active base files: <*>,12035,active base files: <path> <hex>,1,OpenStack_C0000008,1,12035,active base files: <path> <hex>,1,1,frequency_representative
41,Creating event network-vif-plugged:95fcdc5e-3159-4e86-968a-13a2a06e9e89 for instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61,E38,Creating event <*> for instance <*>,2065,creating event network-vif-plugged: <uuid> for instance <uuid>,2065,OpenStack_C0000009,2065,2065,creating event network-vif-plugged: <uuid> for instance <uuid>,1,1,frequency_representative
34579,"10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200 len: 380 time: 0.0966470",E41,"<*> ""POST <*> <*>"" status: <*> len: <*> time: <*>",4129,"<ip> ""post /v2/ <hex> /os-server-external-events http/ <num> "" status: <num> len: <num> time: <num>",3994,OpenStack_C0000010,3994,4129,"<ip> "" post/v 2/<hex>/os-server-external-events http/<num> "" status: <num> len: <num> time: <num>",1,1,frequency_representative
44,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Instance spawned successfully.,E18,[instance: <*>] Instance spawned successfully.,2066,[instance: <uuid> ] instance spawned successfully.,2066,OpenStack_C0000011,4130,4130,[instance: <uuid>] instance <*> successfully.,2,1,frequency_representative
62,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Instance destroyed successfully.,E17,[instance: <*>] Instance destroyed successfully.,2064,[instance: <uuid> ] instance destroyed successfully.,2064,OpenStack_C0000011,4130,4130,[instance: <uuid>] instance <*> successfully.,2,2,complex_sample
45,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Took 20.58 seconds to spawn the instance on the hypervisor.,E9,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,2066,[instance: <uuid> ] took <num> seconds to spawn the instance on the hypervisor.,2066,OpenStack_C0000012,4130,4130,[instance: <uuid>] took <num> seconds to <*> the instance on the hypervisor.,2,1,frequency_representative
