LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E9,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1446,"<id> close, <num> bytes sent, <num> bytes received, lifetime < <num> sec",360,Proxifier_C0000001,372,1465,"<id> close, <num> bytes sent, <num> bytes received, lifetime < <num> sec",2,1,frequency_representative
16920,"203.205.151.204:80 close, 425 bytes sent, 161 bytes received, lifetime <1 sec",E9,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",19,"<ip> close, <num> bytes sent, <num> bytes received, lifetime < <num> sec",12,Proxifier_C0000001,372,1465,"<id> close, <num> bytes sent, <num> bytes received, lifetime < <num> sec",2,2,complex_sample
7351,"proxy.cse.cuhk.edu.hk:5070 close, 2842 bytes (2.77 KB) sent, 279 bytes received, lifetime <1 sec",E7,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>",331,"<id> close, <num> bytes ( <num> kb) sent, <num> bytes received, lifetime < <num> sec",279,Proxifier_C0000002,285,337,"<id> close, <num> bytes (<num> kb) sent, <num> bytes received, lifetime < <num> sec",2,1,frequency_representative
13709,"203.205.149.231:443 close, 62954 bytes (61.4 KB) sent, 616 bytes received, lifetime <1 sec",E7,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>",6,"<ip> close, <num> bytes ( <num> kb) sent, <num> bytes received, lifetime < <num> sec",6,Proxifier_C0000002,285,337,"<id> close, <num> bytes (<num> kb) sent, <num> bytes received, lifetime < <num> sec",2,2,complex_sample
14,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E11,<*> open through proxy <*> HTTPS,10148,<id> open through proxy <id> https,631,Proxifier_C0000003,665,10218,<id> open through proxy <id> https,2,1,frequency_representative
10151,203.205.151.204:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E11,<*> open through proxy <*> HTTPS,70,<ip> open through proxy <id> https,34,Proxifier_C0000003,665,10218,<id> open through proxy <id> https,2,2,complex_sample
30,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",E9,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2406,"<id> close, <num> bytes sent, <num> bytes received, lifetime <num> : <num>",1002,Proxifier_C0000004,1015,2419,"<id> close, <num> bytes sent, <num> bytes received, lifetime <num>: <num>",2,1,frequency_representative
4134,"183.60.49.182:443 close, 484 bytes sent, 163 bytes received, lifetime 00:03",E9,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",13,"<ip> close, <num> bytes sent, <num> bytes received, lifetime <num> : <num>",13,Proxifier_C0000004,1015,2419,"<id> close, <num> bytes sent, <num> bytes received, lifetime <num>: <num>",2,2,complex_sample
816,"proxy.cse.cuhk.edu.hk:5070 close, 1293 bytes (1.26 KB) sent, 2439 bytes (2.38 KB) received, lifetime <1 sec",E6,"<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",332,"<id> close, <num> bytes ( <num> kb) sent, <num> bytes ( <num> kb) received, lifetime < <num> sec",303,Proxifier_C0000005,305,334,"<id> close, <num> bytes (<num> kb) sent, <num> bytes (<num> kb) received, lifetime < <num> sec",2,1,frequency_representative
10507,"203.205.144.168:443 close, 1538 bytes (1.50 KB) sent, 145156 bytes (141 KB) received, lifetime <1 sec",E6,"<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",2,"<ip> close, <num> bytes ( <num> kb) sent, <num> bytes ( <num> kb) received, lifetime < <num> sec",2,Proxifier_C0000005,305,334,"<id> close, <num> bytes (<num> kb) sent, <num> bytes (<num> kb) received, lifetime < <num> sec",2,2,complex_sample
