LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,"Registered signal handlers for [TERM, HUP, INT]",E164,Registered signal handlers for <*>,2606,"registered signal handlers for [term, hup, int]",1,Spark_C0000001,1,2606,"registered signal handlers for [term, hup, int]",1,1,frequency_representative
2,"Changing view acls to: yarn,curi",E200,"Changing view acls to: <*>,<*>",4921,"changing view acls to: yarn,curi",1,Spark_C0000002,1,4921,"changing view acls to: yarn, curi",1,1,frequency_representative
3,"Changing modify acls to: yarn,curi",E191,"Changing modify acls to: <*>,<*>",4921,"changing modify acls to: yarn,curi",1,Spark_C0000003,1,4921,"changing modify acls to: yarn, curi",1,1,frequency_representative
4,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E10,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>, <*>); users with modify permissions: Set(<*>, <*>)",4921,"securitymanager: authentication disabled; ui acls disabled; users with view permissions: set(yarn, curi); users with modify permissions: set(yarn, curi)",1,Spark_C0000004,2,4963,"securitymanager: authentication disabled; ui acls disabled; users with view permissions: set (yarn, <*>); users with modify permissions: set (yarn, <*>)",2,1,frequency_representative
2042060,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, yxsu); users with modify permissions: Set(yarn, yxsu)",E10,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>, <*>); users with modify permissions: Set(<*>, <*>)",42,"securitymanager: authentication disabled; ui acls disabled; users with view permissions: set(yarn, yxsu); users with modify permissions: set(yarn, yxsu)",1,Spark_C0000004,2,4963,"securitymanager: authentication disabled; ui acls disabled; users with view permissions: set (yarn, <*>); users with modify permissions: set (yarn, <*>)",2,2,complex_sample
8,Slf4jLogger started,E208,Slf4jLogger started,2378,<id> started,1,Spark_C0000005,65,2442,<*> <*>,2,1,frequency_representative
124,Started SelectChannelConnector@0.0.0.0:33134,E145,Started SelectChannelConnector@<*>,64,started <email>,64,Spark_C0000005,65,2442,<*> <*>,2,2,complex_sample
9,Starting remoting,E221,Starting remoting,2378,starting remoting,1,Spark_C0000006,1,2378,starting remoting,1,1,frequency_representative
2700954,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-28:52177],E96,Remoting started; listening on addresses :[<*>],2272,remoting started; listening on addresses :[akka.tcp://sparkexecutoractorsystem@ <id> ],2267,Spark_C0000007,2309,2314,remoting started; listening on addresses: [akka. tcp:// <*> @ <id>],3,1,frequency_representative
2042063,Remoting started; listening on addresses :[akka.tcp://driverPropsFetcher@mesos-slave-30:44924],E96,Remoting started; listening on addresses :[<*>],21,remoting started; listening on addresses :[akka.tcp://driverpropsfetcher@ <id> ],21,Spark_C0000007,2309,2314,remoting started; listening on addresses: [akka. tcp:// <*> @ <id>],3,2,complex_sample
2042073,Remoting started; listening on addresses :[akka.tcp://sparkExecutor@mesos-slave-30:45653],E96,Remoting started; listening on addresses :[<*>],21,remoting started; listening on addresses :[akka.tcp://sparkexecutor@ <id> ],21,Spark_C0000007,2309,2314,remoting started; listening on addresses: [akka. tcp:// <*> @ <id>],3,3,diverse_sample
