LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,tftp: client does not accept options,E569,tftp: client does not accept options,13640,tftp: client does not accept options,1,Thunderbird_C0000001,1,13640,tftp: client does not accept options,1,1,frequency_representative
2,warning: unable to look up public/pickup: No such file or directory,E292,warning: unable to look up <*>: No such file or directory,5306,warning: unable to look up public/pickup: no such file or directory,1,Thunderbird_C0000002,1,5306,warning: unable to look up public/pickup: no such file or directory,1,1,frequency_representative
141,"Connection broken to AF_INET(tbird-admin1:7175), reopening in 60 seconds",E260,"Connection broken to AF_INET(<*>), reopening in <*> seconds",115,"connection broken to af_inet( <id> ), reopening in <num> seconds",2,Thunderbird_C0000003,2,115,"connection broken to af_inet (<id>), reopening in <num> seconds",1,1,frequency_representative
1390,My unqualified host name (aadmin1) unknown; sleeping for retry,E273,My unqualified host name <*> unknown; sleeping for retry,6123,my unqualified host name (aadmin1) unknown; sleeping for retry,1,Thunderbird_C0000004,4517,123927,my unqualified host name (<*> <*>) unknown; sleeping for retry,3,1,frequency_representative
1389,My unqualified host name (eadmin1) unknown; sleeping for retry,E273,My unqualified host name <*> unknown; sleeping for retry,6102,my unqualified host name (eadmin1) unknown; sleeping for retry,1,Thunderbird_C0000004,4517,123927,my unqualified host name (<*> <*>) unknown; sleeping for retry,3,2,complex_sample
7810254,My unqualified host name (bn9) unknown; sleeping for retry,E273,My unqualified host name <*> unknown; sleeping for retry,27,my unqualified host name (bn9) unknown; sleeping for retry,1,Thunderbird_C0000004,4517,123927,my unqualified host name (<*> <*>) unknown; sleeping for retry,3,3,diverse_sample
310,"synchronized to 10.100.24.250, stratum 3",E893,synchronized to <*> stratum <*>,391192,"synchronized to <ip> , stratum <num>",23,Thunderbird_C0000005,23,391192,"synchronized to <ip>, stratum <num>",1,1,frequency_representative
151,[ib_sm_sweep.c:1455]: No topology change,E938,[<*>]: No topology change,245453,[ <id> ]: no topology change,1,Thunderbird_C0000006,1,245453,[<id>]: no topology change,1,1,frequency_representative
152,[ib_sm_sweep.c:1482]: No configuration change required,E535,[<*>]: No configuration change required,99687,[ <id> ]: no configuration change required,1,Thunderbird_C0000007,1,99687,[<id>]: no configuration change required,1,1,frequency_representative
161,session opened for user root by (uid=0),E664,session opened for user <*> by <*>(uid=<*>),1644751,session opened for user root by (uid= <num> ),1,Thunderbird_C0000008,2,1649760,session opened for user <*> by (uid = <num>),2,1,frequency_representative
252058,session opened for user mwsukal by (uid=0),E664,session opened for user <*> by <*>(uid=<*>),5009,session opened for user mwsukal by (uid= <num> ),1,Thunderbird_C0000008,2,1649760,session opened for user <*> by (uid = <num>),2,2,complex_sample
