LineId,Content,EventId,EventTemplate,dup_count,normalized_content,normalized_unique_content_count,cluster_id,cluster_size_unique,cluster_weight_dup_sum,cluster_template_guess,cluster_keep_k,selected_rank,selection_reason
1,Reading configuration from: /etc/zookeeper/conf/zoo.cfg,E57,Reading configuration from: <*>,36,reading configuration from: <path>,1,Zookeeper_C0000001,1,36,reading configuration from: <path>,1,1,frequency_representative
2,Defaulting to majority quorums,E46,Defaulting to majority quorums,36,defaulting to majority quorums,1,Zookeeper_C0000002,1,36,defaulting to majority quorums,1,1,frequency_representative
3,autopurge.snapRetainCount set to 3,E35,autopurge.snapRetainCount set to <*>,36,autopurge.snapretaincount set to <num>,1,Zookeeper_C0000003,2,72,autopurge. <*> set to <num>,2,1,frequency_representative
4,autopurge.purgeInterval set to 0,E44,autopurge.purgeInterval set to <*>,36,autopurge.purgeinterval set to <num>,1,Zookeeper_C0000003,2,72,autopurge. <*> set to <num>,2,2,complex_sample
5,Purge task is not scheduled.,E60,Purge task is not scheduled.,36,purge task is not scheduled.,1,Zookeeper_C0000004,1,36,purge task is not scheduled.,1,1,frequency_representative
6,Starting quorum peer,E71,Starting quorum peer,36,starting quorum peer,1,Zookeeper_C0000005,1,36,starting quorum peer,1,1,frequency_representative
7,binding to port 0.0.0.0/0.0.0.0:2181,E80,binding to port <*>,36,binding to port <ip> / <ip>,1,Zookeeper_C0000006,1,36,binding to port <ip>/<ip>,1,1,frequency_representative
8,tickTime set to 2000,E81,tickTime set to <*>,36,ticktime set to <num>,1,Zookeeper_C0000007,1,36,ticktime set to <num>,1,1,frequency_representative
9,minSessionTimeout set to -1,E65,minSessionTimeout set to <*>,36,minsessiontimeout set to <num>,1,Zookeeper_C0000008,1,36,minsessiontimeout set to <num>,1,1,frequency_representative
10,maxSessionTimeout set to -1,E63,maxSessionTimeout set to <*>,36,maxsessiontimeout set to <num>,1,Zookeeper_C0000009,1,36,maxsessiontimeout set to <num>,1,1,frequency_representative
11,initLimit set to 10,E79,initLimit set to <*>,36,initlimit set to <num>,1,Zookeeper_C0000010,1,36,initlimit set to <num>,1,1,frequency_representative
12,currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation,E3,currentEpoch not found! Creating with a reasonable default of <*>. This should only happen when you are upgrading your installation,3,currentepoch not found! creating with a reasonable default of <num> . this should only happen when you are upgrading your installation,1,Zookeeper_C0000011,1,3,currentepoch not found! creating with a reasonable default of <num>. this should only happen when you are upgrading your installation,1,1,frequency_representative
13,acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation,E2,acceptedEpoch not found! Creating with a reasonable default of <*>. This should only happen when you are upgrading your installation,3,acceptedepoch not found! creating with a reasonable default of <num> . this should only happen when you are upgrading your installation,1,Zookeeper_C0000012,1,3,acceptedepoch not found! creating with a reasonable default of <num>. this should only happen when you are upgrading your installation,1,1,frequency_representative
14,My election bind port: 0.0.0.0/0.0.0.0:3888,E68,My election bind port: <*>,36,my election bind port: <ip> / <ip>,1,Zookeeper_C0000013,1,36,my election bind port: <ip>/<ip>,1,1,frequency_representative
15,LOOKING,E87,LOOKING,49,looking,1,Zookeeper_C0000014,1,49,looking,1,1,frequency_representative
21005,"New election. My id = 1, proposed zxid=0x50000062e",E55,"New election. My id = <*>, proposed <*>",49,"new election. my id = <num> , proposed zxid= <hex>",36,Zookeeper_C0000015,36,49,"new election. my id = <num>, proposed zxid = <hex>",1,1,frequency_representative
22391,"Notification: 2 (n.leader), 0xb00000084 (n.zxid), 0x2 (n.round), LOOKING (n.state), 2 (n.sid), 0xb (n.peerEPoch), LOOKING (my state)",E4,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",293,"notification: <num> (n.leader), <hex> (n.zxid), <hex> (n.round), looking (n.state), <num> (n.sid), <hex> (n.peerepoch), looking (my state)",78,Zookeeper_C0000016,175,505,"notification: <num> (n. leader), <hex> (n. zxid), <hex> (n. round), <*> (n. state), <num> (n. sid), <hex> (n. peerepoch), <*> (my state)",3,1,frequency_representative
73770,"Notification: 2 (n.leader), 0xb00000084 (n.zxid), 0x2 (n.round), FOLLOWING (n.state), 1 (n.sid), 0xb (n.peerEPoch), FOLLOWING (my state)",E4,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",26,"notification: <num> (n.leader), <hex> (n.zxid), <hex> (n.round), following (n.state), <num> (n.sid), <hex> (n.peerepoch), following (my state)",12,Zookeeper_C0000016,175,505,"notification: <num> (n. leader), <hex> (n. zxid), <hex> (n. round), <*> (n. state), <num> (n. sid), <hex> (n. peerepoch), <*> (my state)",3,2,complex_sample
48519,"Notification: 2 (n.leader), 0x300000dcd (n.zxid), 0x5 (n.round), LEADING (n.state), 2 (n.sid), 0x4 (n.peerEPoch), LEADING (my state)",E4,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",6,"notification: <num> (n.leader), <hex> (n.zxid), <hex> (n.round), leading (n.state), <num> (n.sid), <hex> (n.peerepoch), leading (my state)",2,Zookeeper_C0000016,175,505,"notification: <num> (n. leader), <hex> (n. zxid), <hex> (n. round), <*> (n. state), <num> (n. sid), <hex> (n. peerepoch), <*> (my state)",3,3,diverse_sample
19,Cannot open channel to 3 at election address /10.10.34.13:3888,E24,Cannot open channel to <*> at election address <*>,2584,cannot open channel to <num> at election address / <ip>,3,Zookeeper_C0000017,3,2584,cannot open channel to <num> at election address/<ip>,1,1,frequency_representative
20436,Notification time out: 60000,E67,Notification time out: <*>,1322,notification time out: <num>,9,Zookeeper_C0000018,9,1322,notification time out: <num>,1,1,frequency_representative
41,Received connection request /10.10.34.12:47478,E59,Received connection request <*>,10429,received connection request / <ip>,9704,Zookeeper_C0000019,9704,10429,received connection request/<ip>,1,1,frequency_representative
45,FOLLOWING,E86,FOLLOWING,34,following,1,Zookeeper_C0000020,1,34,following,1,1,frequency_representative
46,TCP NoDelay set to: true,E73,TCP NoDelay set to: <*>,39,tcp nodelay set to: true,1,Zookeeper_C0000021,1,39,tcp nodelay set to: true,1,1,frequency_representative
47,"Server environment:zookeeper.version=3.4.5--1, built on 06/10/2013 17:26 GMT",E19,"Server environment:zookeeper.version=<*>, built on <*> GMT",36,"server environment:zookeeper.version= <num> . <num> - <num> , built on <num> / <num> / <num> <num> : <num> gmt",1,Zookeeper_C0000022,1,36,"server environment: zookeeper. version = <num>. <num>-<num>, built on <num>/<num>/<num> <num>: <num> gmt",1,1,frequency_representative
19065,Server environment:host.name=mesos-master-1,E41,Server environment:host.name=<*>,36,server environment:host.name= <id>,6,Zookeeper_C0000023,6,36,server environment: host. name = <id>,1,1,frequency_representative
49,Server environment:java.version=1.7.0_79,E34,Server environment:java.version=<*>,36,server environment:java.version= <num> .0_79,1,Zookeeper_C0000024,1,36,server environment: java. version = <num>. 0 _ 79,1,1,frequency_representative
50,Server environment:java.vendor=Oracle Corporation,E36,Server environment:java.vendor=<*>,36,server environment:java.vendor=oracle corporation,1,Zookeeper_C0000025,1,36,server environment: java. vendor = oracle corporation,1,1,frequency_representative
51,Server environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre,E43,Server environment:java.home=<*>,36,server environment:java.home= <path>,1,Zookeeper_C0000026,3,108,server environment: <*>. <*> = <path>,2,1,frequency_representative
57,Server environment:os.version=3.16.0-30-generic,E38,Server environment:os.version=<*>,36,server environment:os.version= <id>,1,Zookeeper_C0000026,3,108,server environment: <*>. <*> = <path>,2,2,complex_sample
52,Server environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar,E27,Server environment:java.class.path=<*>,36,server environment:java.class.path= <path>,1,Zookeeper_C0000027,1,36,server environment: java. class. path = <path>,1,1,frequency_representative
53,Server environment:java.io.tmpdir=/tmp,E29,Server environment:java.io.tmpdir=<*>,36,server environment:java.io.tmpdir=/tmp,1,Zookeeper_C0000028,1,36,server environment: java. io. tmpdir =/tmp,1,1,frequency_representative
55,Server environment:os.name=Linux,E54,Server environment:os.name=<*>,36,server environment:os.name=linux,1,Zookeeper_C0000029,1,36,server environment: os. name = linux,1,1,frequency_representative
56,Server environment:os.arch=amd64,E53,Server environment:os.arch=<*>,36,server environment:os.arch=amd64,1,Zookeeper_C0000030,1,36,server environment: os. arch = amd 64,1,1,frequency_representative
58,Server environment:user.name=zookeeper,E40,Server environment:user.name=<*>,36,server environment:user.name=zookeeper,1,Zookeeper_C0000031,1,36,server environment: user. name = zookeeper,1,1,frequency_representative
59,Server environment:user.home=/var/lib/zookeeper,E42,Server environment:user.home=<*>,36,server environment:user.home=/var/lib/zookeeper,1,Zookeeper_C0000032,1,36,server environment: user. home =/var/lib/zookeeper,1,1,frequency_representative
60,Server environment:user.dir=/,E49,Server environment:user.dir=<*>,36,server environment:user.dir=/,1,Zookeeper_C0000033,1,36,server environment: user. dir = /,1,1,frequency_representative
61,Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /var/lib/zookeeper/version-2 snapdir /var/lib/zookeeper/version-2,E9,Created server with tickTime <*> minSessionTimeout <*> maxSessionTimeout <*> datadir <*> snapdir <*>,49,created server with ticktime <num> minsessiontimeout <num> maxsessiontimeout <num> datadir <path> snapdir <path>,1,Zookeeper_C0000034,1,49,created server with ticktime <num> minsessiontimeout <num> maxsessiontimeout <num> datadir <path> snapdir <path>,1,1,frequency_representative
21199,FOLLOWING - LEADER ELECTION TOOK - 39,E39,FOLLOWING - LEADER ELECTION TOOK - <*>,34,following - leader election took - <num>,32,Zookeeper_C0000035,32,34,following-leader election took-<num>,1,1,frequency_representative
21036,Getting a diff from the leader 0x50000062e,E58,Getting a diff from the leader <*>,28,getting a diff from the leader <hex>,15,Zookeeper_C0000036,15,28,getting a diff from the leader <hex>,1,1,frequency_representative
21037,Snapshotting: 0x50000062e to /var/lib/zookeeper/version-2/snapshot.50000062e,E75,Snapshotting: <*> to <*>,65,snapshotting: <hex> to <path>,19,Zookeeper_C0000037,19,65,snapshotting: <hex> to <path>,1,1,frequency_representative
