dataset_name,cluster_count,selected_log_count,keep_1_cluster_count,keep_2_cluster_count,keep_3_cluster_count,selected_dup_weight_sum,selected_unique_content_sum
Apache,97,99,95,2,0,51978,14145
BGL,399,516,316,49,34,4580046,324709
HDFS,95,99,91,4,0,11167720,10327109
HPC,153,174,135,15,3,429043,9522
Hadoop,320,340,303,14,3,179526,60699
HealthApp,200,202,198,2,0,212394,122791
Linux,454,560,377,48,29,20420,9415
Mac,1664,1766,1580,66,18,96139,35279
OpenSSH,149,217,104,22,23,603879,164104
OpenStack,52,66,42,6,4,205391,137493
Proxifier,22,39,7,13,2,21316,7869
Spark,278,323,249,13,16,14927599,6822928
Thunderbird,1822,2023,1658,127,37,16196597,1165359
Zookeeper,90,96,85,4,1,74057,23758
